IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      10.0.0.92,,80,tcp,10.0,High,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.2.34
Installed version: 7.2.34
EOL version:       7.2
EOL date:          2020-11-30
",1.3.6.1.4.1.25623.1.0.105889,"",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,b9f84b73-b56b-4bba-8397-a0af7b103cf3,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","",""
10.0.0.245,,443,tcp,10.0,High,100,"Workaround","Greenbone Security Assistant (GSA) Default Credentials (HTTP)","The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,"",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:39:26Z,8a25321c-aa66-4722-965b-82f895515288,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.","Change the password of the mentioned account(s).","","","Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
","","","",""
10.0.0.116,,443,tcp,10.0,High,100,"Workaround","Greenbone Security Assistant (GSA) Default Credentials (HTTP)","The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,"",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:56:36Z,87ae2111-b87a-49d7-9250-7e941f7f0d86,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.","Change the password of the mentioned account(s).","","","Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
","","","",""
10.0.0.92,,22,tcp,9.8,High,30,"VendorFix","OpenBSD OpenSSH < 9.3p2 RCE Vulnerability","OpenBSD OpenSSH is prone to a remote code execution (RCE)
  vulnerability in OpenSSH's forwarded ssh-agent.","Installed version: 8.9p1
Fixed version:     9.3p2
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.104869,"CVE-2023-38408",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,b5905168-7f3f-4640-b25c-989298efbbf5,"","Update to version 9.3p2 or later.","OpenBSD OpenSSH prior to version 9.3p2.

  The following conditions needs to be met:

  - Exploitation requires the presence of specific libraries on the victim system.

  - Remote exploitation requires that the agent was forwarded to an attacker-controlled system.","A condition where specific libraries loaded via ssh-agent(1)'s
  PKCS#11 support could be abused to achieve remote code execution via a forwarded agent socket.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH < 9.3p2 RCE Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104869)
Version used: 2023-10-13T05:06:10Z
","Product: cpe:/a:openbsd:openssh:8.9p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0491,DFN-CERT-2023-2792,DFN-CERT-2023-2179,DFN-CERT-2023-1961,DFN-CERT-2023-1920,DFN-CERT-2023-1845,DFN-CERT-2023-1773,DFN-CERT-2023-1665,WID-SEC-2024-3195,WID-SEC-2024-1248,WID-SEC-2024-1082,WID-SEC-2024-0064,WID-SEC-2023-2679,WID-SEC-2023-2625,WID-SEC-2023-2240,WID-SEC-2023-1843,WID-SEC-2023-1819",""
10.0.0.92,,80,tcp,9.8,High,30,"VendorFix","PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.34
Fixed version:     8.0.30
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.170529,"CVE-2023-3823,CVE-2023-3824",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,93de441f-e09c-4bcb-a69b-385be481c332,"","Update to version 8.0.30, 8.1.22, 8.2.9 or later.","PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.","The following flaws exist:

  - CVE-2023-3823: Fixed bug GHSA-3qrf-m4j2-pcrr (Security issue with external entity loading in XML
  without enabling it)

  - CVE-2023-3824: Fixed bug GHSA-jqcx-ccgc-xwhv (Buffer mismanagement in phar_dir_read())","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.170529)
Version used: 2023-10-13T05:06:10Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-3330,DFN-CERT-2024-2681,DFN-CERT-2024-0993,DFN-CERT-2023-2570,DFN-CERT-2023-2542,DFN-CERT-2023-1775,WID-SEC-2023-2917,WID-SEC-2023-2679,WID-SEC-2023-1970",""
10.0.0.92,,80,tcp,9.8,High,30,"VendorFix","PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.34
Fixed version:     7.4.33
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.148830,"CVE-2022-31630,CVE-2022-37454",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,06bc5ad5-4391-4d47-b2cf-a789b25e716f,"","Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.","The following vulnerabilities exist:

  - CVE-2022-31630: OOB read due to insufficient input validation in imageloadfont()

  - CVE-2022-37454: Buffer overflow in hash_update() on long parameter","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux
(OID: 1.3.6.1.4.1.25623.1.0.148830)
Version used: 2023-10-19T05:05:21Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2023-0552,DFN-CERT-2023-0422,DFN-CERT-2023-0028,DFN-CERT-2022-2869,DFN-CERT-2022-2793,DFN-CERT-2022-2715,DFN-CERT-2022-2639,DFN-CERT-2022-2638,DFN-CERT-2022-2598,DFN-CERT-2022-2535,DFN-CERT-2022-2523,DFN-CERT-2022-2420,DFN-CERT-2022-2380,WID-SEC-2023-1021,WID-SEC-2023-0561,WID-SEC-2023-0138,WID-SEC-2022-1934,WID-SEC-2022-1816",""
10.0.0.92,,80,tcp,9.8,High,30,"VendorFix","PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.34
Fixed version:     8.1.29
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.152369,"CVE-2024-4577,CVE-2024-5458,CVE-2024-5585",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,93b4e68f-6fbf-4782-add6-2dd98e8df647,"","Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.","The following vulnerabilities exist:

  - CVE-2024-4577: Argument injection in PHP-CGI (bypass of CVE-2012-1823)

  - CVE-2024-5458: Filter bypass in filter_var FILTER_VALIDATE_URL

  - CVE-2024-5585: Bypass of CVE-2024-1874

  Note: As of 06/2024 the CVEs CVE-2024-4577 and CVE-2024-5585 are known to be exploitable on
  Windows systems only.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.152369)
Version used: 2024-08-09T05:05:42Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-3330,DFN-CERT-2024-3329,DFN-CERT-2024-2707,DFN-CERT-2024-1853,DFN-CERT-2024-1586,DFN-CERT-2024-1574,DFN-CERT-2024-1563,DFN-CERT-2024-1476,WID-SEC-2024-3196,WID-SEC-2024-3195,WID-SEC-2024-1320",""
10.0.0.92,,80,tcp,9.8,High,30,"VendorFix","PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux","PHP is prone to multiple vulnerabilities.","Installed version: 7.2.34
Fixed version:     8.1.31
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.153495,"CVE-2024-8929,CVE-2024-8932,CVE-2024-11233,CVE-2024-11234,CVE-2024-11236",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,9f257341-c74f-4e92-a4a4-3049351685f5,"","Update to version 8.1.31, 8.2.26, 8.3.14 or later.","PHP versions prior to 8.1.31, 8.2.x prior to 8.2.26 and 8.3.x
  prior to 8.3.14.","The following vulnerabilities exist:

  - CVE-2024-8929: Leak partial content of the heap through heap buffer over-read

  - CVE-2024-8932: OOB access in ldap_escape

  - CVE-2024-11233: Single byte overread with convert.quoted-printable-decode filter

  - CVE-2024-11234: Configuring a proxy in a stream context might allow for CRLF injection in URIs

  - CVE-2024-11236: Integer overflow in the firebird/dblib quoter causing OOB writes

  - No CVE: Heap-Use-After-Free in sapi_read_post_data Processing in CLI SAPI Interface","Checks if a vulnerable version is present on the target host.
Details:
PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.153495)
Version used: 2025-01-13T08:32:03Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2025-0179,DFN-CERT-2024-3200,DFN-CERT-2024-3172,DFN-CERT-2024-3108,WID-SEC-2024-3519",""
10.0.0.92,,80,tcp,9.8,High,30,"VendorFix","Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux","Apache HTTP Server is prone to multiple vulnerabilities.","Installed version: 2.4.52
Fixed version:     2.4.60
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.114682,"CVE-2024-36387,CVE-2024-38473,CVE-2024-38474,CVE-2024-38475,CVE-2024-38476,CVE-2024-38477,CVE-2024-39573",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,9ec64288-d4cd-4824-9273-92a5212659df,"","Update to version 2.4.60 or later.","Apache HTTP Server version 2.4.59 and prior.","The following flaws exist:

  - CVE-2024-36387: Denial of Service (DoS) by Null pointer in websocket over HTTP/2

  - CVE-2024-38473: Proxy encoding problem

  - CVE-2024-38474: Weakness with encoded question marks in backreferences

  - CVE-2024-38475: Weakness in mod_rewrite when first segment of substitution matches filesystem
  path

  - CVE-2024-38476: May use exploitable/malicious backend application output to run local handlers
  via internal redirect

  - CVE-2024-38477: Crash resulting in DoS in mod_proxy via a malicious request

  - CVE-2024-39573: mod_rewrite proxy handler substitution","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux
(OID: 1.3.6.1.4.1.25623.1.0.114682)
Version used: 2024-08-22T05:05:50Z
","Product: cpe:/a:apache:http_server:2.4.52
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2025-0170,DFN-CERT-2024-2841,DFN-CERT-2024-2787,DFN-CERT-2024-2736,DFN-CERT-2024-2342,DFN-CERT-2024-2214,DFN-CERT-2024-2201,DFN-CERT-2024-2180,DFN-CERT-2024-2110,DFN-CERT-2024-2017,DFN-CERT-2024-1963,DFN-CERT-2024-1920,DFN-CERT-2024-1919,DFN-CERT-2024-1911,DFN-CERT-2024-1907,DFN-CERT-2024-1893,DFN-CERT-2024-1816,DFN-CERT-2024-1811,DFN-CERT-2024-1784,DFN-CERT-2024-1741,DFN-CERT-2024-1699,WID-SEC-2025-0148,WID-SEC-2025-0143,WID-SEC-2024-3291,WID-SEC-2024-3199,WID-SEC-2024-1913,WID-SEC-2024-1504",""
10.0.0.1,,53,tcp,9.8,High,30,"VendorFix","Dnsmasq <= 2.86 Multiple Vulnerabilities","Dnsmasq is prone to multiple vulnerabilities.","Installed version: 2.83
Fixed version:     2.87
Installation
path / port:       53/tcp

",1.3.6.1.4.1.25623.1.0.147385,"CVE-2021-45951,CVE-2021-45952,CVE-2021-45953,CVE-2021-45954,CVE-2021-45955,CVE-2021-45956,CVE-2021-45957,CVE-2022-0934",33467d73-4d16-47b4-8cde-ab099da2c47f,"My network scan",2025-03-04T16:36:29Z,4bbb3ac9-5553-40c7-9225-1812bedc7928,"","Update to version 2.87 or later.","Dnsmasq version 2.86 and prior.","The following flaws exist:

  - CVE-2021-45951: Heap-based buffer overflow in check_bad_address

  - CVE-2021-45952: Heap-based buffer overflow in dhcp_reply

  - CVE-2021-45953: Heap-based buffer overflow in extract_name

  - CVE-2021-45954: Heap-based buffer overflow in extract_name

  - CVE-2021-45955: Heap-based buffer overflow in resize_packet

  - CVE-2021-45956: Heap-based buffer overflow in print_mac

  - CVE-2021-45957: Heap-based buffer overflow in answer_request

  Note: The CVEs above have been changed to status 'DISPUTED'

  - CVE-2022-0934: Heap use after free in dhcp6_no_relay","Checks if a vulnerable version is present on the target host.
Details:
Dnsmasq <= 2.86 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.147385)
Version used: 2023-01-12T10:12:15Z
","Product: cpe:/a:thekelleys:dnsmasq:2.83
Method: Dnsmasq Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117275)
","","DFN-CERT-2024-0829,DFN-CERT-2022-0916,DFN-CERT-2022-0906,WID-SEC-2024-0064,WID-SEC-2023-0137,WID-SEC-2022-1988",""
