IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      10.0.0.245,,443,tcp,10.0,High,100,"Workaround","Greenbone Security Assistant (GSA) Default Credentials (HTTP)","The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,"",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T17:46:11Z,ab034bb6-f00d-461b-ae4c-97b03024823e,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.","Change the password of the mentioned account(s).","","","Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
","","","",""
10.0.0.92,,,,10.0,High,30,"VendorFix","LibreOffice Unchecked Script Execution Vulnerability (Jul 2024) - Linux","LibreOffice is prone to an unchecked
  script execution vulnerability.","Installed version: 7.3.7.2.2
Fixed version:     7.6.7
Installation
path / port:       /usr/bin/libreoffice

",1.3.6.1.4.1.25623.1.0.834249,"CVE-2024-3044",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,bd73a240-9949-4d42-a9ce-ce262ddcea8c,"Successful exploitation allows an attacker
  to create a document which without prompt will execute scripts built-into
  LibreOffice on clicking a graphic.","Update to version 7.6.7 or 24.2.3
  later.","LibreOffice prior to version 7.6.7,
  24.2.x prior to 24.2.3 on Linux.","The flaw exists due to an unchecked script
  execution error in LibreOffice Graphics on-click binding.","Checks if a vulnerable version is present
  on the target host.
Details:
LibreOffice Unchecked Script Execution Vulnerability (Jul 2024) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.834249)
Version used: 2024-07-25T05:05:41Z
","Product: cpe:/a:libreoffice:libreoffice:7.3.7.2.2
Method: LibreOffice Detection (Linux/Unix SSH Login)
(OID: 1.3.6.1.4.1.25623.1.0.902701)
","","DFN-CERT-2024-1324,WID-SEC-2024-1144",""
10.0.0.92,,,,10.0,High,30,"VendorFix","LibreOffice Improper Certificate Validation Vulnerability (Jul 2024) - Linux","LibreOffice is prone to an improper
  certificate validation vulnerability.","Installed version: 7.3.7.2.2
Fixed version:     24.2.4
Installation
path / port:       /usr/bin/libreoffice

",1.3.6.1.4.1.25623.1.0.834217,"CVE-2024-5261",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,e2f7ed0b-b429-4c73-998a-6f95f43f1751,"Successful exploitation allows an attacker
  to perform man-in-the-middle attacks, potentially intercepting or modifying
  data transmitted between LibreOffice (when used in LibreOfficeKit mode) and
  remote servers.","Update to version 24.2.4 or later.","LibreOffice prior to version 24.2.4 on
  Linux.","The flaw exists due to TLS certificate
  is not properly verified when utilizing LibreOfficeKit.","Checks if a vulnerable version is present
  on the target host.
Details:
LibreOffice Improper Certificate Validation Vulnerability (Jul 2024) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.834217)
Version used: 2024-07-25T05:05:41Z
","Product: cpe:/a:libreoffice:libreoffice:7.3.7.2.2
Method: LibreOffice Detection (Linux/Unix SSH Login)
(OID: 1.3.6.1.4.1.25623.1.0.902701)
","","DFN-CERT-2024-1731,WID-SEC-2024-1446",""
10.0.0.116,,443,tcp,10.0,High,100,"Workaround","Greenbone Security Assistant (GSA) Default Credentials (HTTP)","The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,"",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,de598cac-a3d1-45a4-9e1b-13e68a9f1d31,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.","Change the password of the mentioned account(s).","","","Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
","","","",""
10.0.0.92,,80,tcp,10.0,High,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.2.34
Installed version: 7.2.34
EOL version:       7.2
EOL date:          2020-11-30
",1.3.6.1.4.1.25623.1.0.105889,"",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,eccab279-11d5-47eb-b272-475a7be76ca2,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","",""
10.0.0.92,,,,10.0,High,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.2.34
Installed version: 7.2.34
EOL version:       7.2
EOL date:          2020-11-30
",1.3.6.1.4.1.25623.1.0.105889,"",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,0d4ccb90-bcc0-4f55-9837-5a723be0003e,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","",""
10.0.0.92,,,,9.8,High,30,"VendorFix","OpenBSD OpenSSH 8.9 - 9.2 Unspecified Vulnerability","OpenBSD OpenSSH is prone to an unspecified vulnerability.","Installed version: 8.9p1
Fixed version:     9.3
Installation
path / port:       /snap/core22/1612/usr/bin/ssh

",1.3.6.1.4.1.25623.1.0.104634,"CVE-2023-28531",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,84136601-c256-4cd4-a0a6-ebdb314c5a30,"","Update to version 9.3 or later.","OpenBSD OpenSSH versions starting from 8.9 and prior to 9.3.","ssh-add(1): when adding smartcard keys to ssh-agent(1) with the
  per-hop destination constraints (ssh-add -h ...) added in OpenSSH 8.9, a logic error prevented the
  constraints from being communicated to the agent. This resulted in the keys being added without
  constraints. The common cases of non-smartcard keys and keys without destination constraints are
  unaffected. This problem was reported by Luci Stanescu.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH 8.9 - 9.2 Unspecified Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104634)
Version used: 2025-01-21T05:37:33Z
","Product: cpe:/a:openbsd:openssh:8.9p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0341,DFN-CERT-2023-3218,DFN-CERT-2023-3182,DFN-CERT-2023-1424,WID-SEC-2024-1082,WID-SEC-2023-0670",""
10.0.0.92,,22,tcp,9.8,High,30,"VendorFix","OpenBSD OpenSSH 8.9 - 9.2 Unspecified Vulnerability","OpenBSD OpenSSH is prone to an unspecified vulnerability.","Installed version: 8.9p1
Fixed version:     9.3
Installation
path / port:       22/tcp

",1.3.6.1.4.1.25623.1.0.104634,"CVE-2023-28531",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,9b690486-0186-4177-a37d-67e99edba7e8,"","Update to version 9.3 or later.","OpenBSD OpenSSH versions starting from 8.9 and prior to 9.3.","ssh-add(1): when adding smartcard keys to ssh-agent(1) with the
  per-hop destination constraints (ssh-add -h ...) added in OpenSSH 8.9, a logic error prevented the
  constraints from being communicated to the agent. This resulted in the keys being added without
  constraints. The common cases of non-smartcard keys and keys without destination constraints are
  unaffected. This problem was reported by Luci Stanescu.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH 8.9 - 9.2 Unspecified Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104634)
Version used: 2025-01-21T05:37:33Z
","Product: cpe:/a:openbsd:openssh:8.9p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0341,DFN-CERT-2023-3218,DFN-CERT-2023-3182,DFN-CERT-2023-1424,WID-SEC-2024-1082,WID-SEC-2023-0670",""
10.0.0.92,,,,9.8,High,30,"VendorFix","Apache HTTP Server 2.4.0 - 2.4.55 HTTP Request Smuggling Vulnerability - Linux","Apache HTTP Server is prone to a HTTP request smuggling
  vulnerability.","Installed version: 2.4.52
Fixed version:     2.4.56
Installation
path / port:       /usr/sbin/apache2

",1.3.6.1.4.1.25623.1.0.104597,"CVE-2023-25690",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,77aed649-d126-4804-bab5-384643c39b1f,"Request splitting/smuggling could result in bypass of access
  controls in the proxy server, proxying unintended URLs to existing origin servers, and cache
  poisoning.","Update to version 2.4.56 or later.","Apache HTTP Server versions 2.4.0 through 2.4.55.","Some mod_proxy configurations allow a HTTP Request Smuggling
  attack.

  Configurations are affected when mod_proxy is enabled along with some form of RewriteRule or
  ProxyPassMatch in which a non-specific pattern matches some portion of the user-supplied
  request-target (URL) data and is then re-inserted into the proxied request-target using variable
  substitution.","Checks if a vulnerable version is present on the target host.
Details:
Apache HTTP Server 2.4.0 - 2.4.55 HTTP Request Smuggling Vulnerability - Lin...
(OID: 1.3.6.1.4.1.25623.1.0.104597)
Version used: 2024-02-15T05:05:40Z
","Product: cpe:/a:apache:http_server:2.4.52
Method: Apache HTTP Server Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.117232)
","","DFN-CERT-2023-1648,DFN-CERT-2023-1297,DFN-CERT-2023-1232,DFN-CERT-2023-0884,DFN-CERT-2023-0788,DFN-CERT-2023-0658,DFN-CERT-2023-0546,WID-SEC-2024-1591,WID-SEC-2024-0794,WID-SEC-2023-3129,WID-SEC-2023-2694,WID-SEC-2023-2031,WID-SEC-2023-1809,WID-SEC-2023-1807,WID-SEC-2023-1424,WID-SEC-2023-1021,WID-SEC-2023-0657,WID-SEC-2023-0583",""
10.0.0.92,,,,9.8,High,30,"VendorFix","OpenBSD OpenSSH 8.9 - 9.2 Unspecified Vulnerability","OpenBSD OpenSSH is prone to an unspecified vulnerability.","Installed version: 8.9p1
Fixed version:     9.3
Installation
path / port:       /usr/bin/ssh

",1.3.6.1.4.1.25623.1.0.104634,"CVE-2023-28531",d2d15a58-77e5-4ad8-860e-f8b8b1893ce1,"New Quick Task",2025-03-04T16:54:18Z,21fbd6d1-4a22-4def-a823-bb64f105dfbd,"","Update to version 9.3 or later.","OpenBSD OpenSSH versions starting from 8.9 and prior to 9.3.","ssh-add(1): when adding smartcard keys to ssh-agent(1) with the
  per-hop destination constraints (ssh-add -h ...) added in OpenSSH 8.9, a logic error prevented the
  constraints from being communicated to the agent. This resulted in the keys being added without
  constraints. The common cases of non-smartcard keys and keys without destination constraints are
  unaffected. This problem was reported by Luci Stanescu.","Checks if a vulnerable version is present on the target host.
Details:
OpenBSD OpenSSH 8.9 - 9.2 Unspecified Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.104634)
Version used: 2025-01-21T05:37:33Z
","Product: cpe:/a:openbsd:openssh:8.9p1
Method: OpenSSH Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.108577)
","","DFN-CERT-2024-1260,DFN-CERT-2024-0341,DFN-CERT-2023-3218,DFN-CERT-2023-3182,DFN-CERT-2023-1424,WID-SEC-2024-1082,WID-SEC-2023-0670",""
