IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      10.0.0.245,,443,tcp,10.0,High,100,"Workaround","Greenbone Security Assistant (GSA) Default Credentials (HTTP)","The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:39:10Z,3e4052f3-9643-466e-9aa7-8d868793dc42,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.","Change the password of the mentioned account(s).","","","Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
","","","",""
10.0.0.92,,,,10.0,High,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.2.34
Installed version: 7.2.34
EOL version:       7.2
EOL date:          2020-11-30
",1.3.6.1.4.1.25623.1.0.105889,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,69f5a1e7-ad60-4e8f-8b40-1ca61c9b354e,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","",""
10.0.0.116,,443,tcp,10.0,High,100,"Workaround","Greenbone Security Assistant (GSA) Default Credentials (HTTP)","The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:42:57Z,ba7574e6-034e-420d-ace7-506043620ff8,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.","Change the password of the mentioned account(s).","","","Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
","","","",""
10.0.0.92,,,,10.0,High,30,"VendorFix","LibreOffice Unchecked Script Execution Vulnerability (Jul 2024) - Linux","LibreOffice is prone to an unchecked
  script execution vulnerability.","Installed version: 7.3.7.2.2
Fixed version:     7.6.7
Installation
path / port:       /usr/bin/libreoffice

",1.3.6.1.4.1.25623.1.0.834249,"CVE-2024-3044",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,a80af4e8-7b18-416d-bd8c-af363690c5d4,"Successful exploitation allows an attacker
  to create a document which without prompt will execute scripts built-into
  LibreOffice on clicking a graphic.","Update to version 7.6.7 or 24.2.3
  later.","LibreOffice prior to version 7.6.7,
  24.2.x prior to 24.2.3 on Linux.","The flaw exists due to an unchecked script
  execution error in LibreOffice Graphics on-click binding.","Checks if a vulnerable version is present
  on the target host.
Details:
LibreOffice Unchecked Script Execution Vulnerability (Jul 2024) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.834249)
Version used: 2024-07-25T05:05:41Z
","Product: cpe:/a:libreoffice:libreoffice:7.3.7.2.2
Method: LibreOffice Detection (Linux/Unix SSH Login)
(OID: 1.3.6.1.4.1.25623.1.0.902701)
","","DFN-CERT-2024-1324,WID-SEC-2024-1144",""
10.0.0.92,,,,10.0,High,30,"VendorFix","LibreOffice Improper Certificate Validation Vulnerability (Jul 2024) - Linux","LibreOffice is prone to an improper
  certificate validation vulnerability.","Installed version: 7.3.7.2.2
Fixed version:     24.2.4
Installation
path / port:       /usr/bin/libreoffice

",1.3.6.1.4.1.25623.1.0.834217,"CVE-2024-5261",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,34c9d28a-b2a4-4810-a7e1-d47e82427a9d,"Successful exploitation allows an attacker
  to perform man-in-the-middle attacks, potentially intercepting or modifying
  data transmitted between LibreOffice (when used in LibreOfficeKit mode) and
  remote servers.","Update to version 24.2.4 or later.","LibreOffice prior to version 24.2.4 on
  Linux.","The flaw exists due to TLS certificate
  is not properly verified when utilizing LibreOfficeKit.","Checks if a vulnerable version is present
  on the target host.
Details:
LibreOffice Improper Certificate Validation Vulnerability (Jul 2024) - Linux
(OID: 1.3.6.1.4.1.25623.1.0.834217)
Version used: 2024-07-25T05:05:41Z
","Product: cpe:/a:libreoffice:libreoffice:7.3.7.2.2
Method: LibreOffice Detection (Linux/Unix SSH Login)
(OID: 1.3.6.1.4.1.25623.1.0.902701)
","","DFN-CERT-2024-1731,WID-SEC-2024-1446",""
10.0.0.92,,80,tcp,10.0,High,30,"VendorFix","PHP End of Life (EOL) Detection - Linux","The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","The ""PHP"" version on the remote host has reached the end of life.

CPE:               cpe:/a:php:php:7.2.34
Installed version: 7.2.34
EOL version:       7.2
EOL date:          2020-11-30
",1.3.6.1.4.1.25623.1.0.105889,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,570ca9dc-011e-45e0-9b5f-5bb3b7817372,"An EOL version of PHP is not receiving any security updates from
  the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise the
  security of this host.","Update the PHP version on the remote host to a still supported
  version.","","Each release branch of PHP is fully supported for two years from
  its initial stable release. During this period, bugs and security issues that have been reported
  are fixed and are released in regular point releases.

  After this two year period of active support, each branch is then supported for an additional year
  for critical security issues only. Releases during this period are made on an as-needed basis:
  there may be multiple point releases, or none, depending on the number of reports.

  Once the three years of support are completed, the branch reaches its end of life and is no longer
  supported.","Checks if an EOL version is present on the target host.
Details:
PHP End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.105889)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","",""
10.0.0.92,,,,9.9,High,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.11.2
Installed version: 1.11.2
Location/URL:      /usr/share/transmission/web/javascript/jquery/jquery.min.js
EOL version:       1
EOL date:          unknown
",1.3.6.1.4.1.25623.1.0.117149,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,6be7b100-b9c5-4586-ae64-ea9b9dcc2670,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:jquery:jquery:1.8.3
Method: jQuery Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.150658)
","","",""
10.0.0.92,,,,9.9,High,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.3.2
Installed version: 1.3.2
Location/URL:      /var/www/html/mutillidae/src/javascript/ddsmoothmenu/jquery.min.js
EOL version:       1
EOL date:          unknown
",1.3.6.1.4.1.25623.1.0.117149,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,5e286556-df24-4134-93fc-56aa8afea6d9,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:jquery:jquery:1.8.3
Method: jQuery Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.150658)
","","",""
10.0.0.92,,,,9.9,High,30,"VendorFix","jQuery End of Life (EOL) Detection - Linux","The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.8.3
Installed version: 1.8.3
Location/URL:      /var/www/html/mutillidae/src/javascript/jQuery/jquery.js
EOL version:       1
EOL date:          unknown
",1.3.6.1.4.1.25623.1.0.117149,"",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,3919c276-7237-4665-bf33-b28be325479f,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.","Update jQuery on the remote host to a still supported version.","","","Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2024-02-28T14:37:42Z
","Product: cpe:/a:jquery:jquery:1.8.3
Method: jQuery Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.150658)
","","",""
10.0.0.92,,80,tcp,9.8,High,30,"VendorFix","PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux","PHP released new versions which include a security fix.","Installed version: 7.2.34
Fixed version:     7.4.28
Installation
path / port:       80/tcp

",1.3.6.1.4.1.25623.1.0.147657,"CVE-2021-21708",061c0578-77b8-48ed-913b-79e31efd6548,"Cridential",2025-03-04T16:46:37Z,76f9641d-d5aa-4e8a-bfa7-83007d973482,"","Update to version 7.4.28, 8.0.16, 8.1.3 or later.","PHP prior to version 7.4.28, 8.0.x through 8.0.15 and 8.1.x
  through 8.1.2.","Fix #81708: UAF due to php_filter_float() failing for ints.","Checks if a vulnerable version is present on the target host.
Details:
PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Lin...
(OID: 1.3.6.1.4.1.25623.1.0.147657)
Version used: 2022-03-09T03:03:43Z
","Product: cpe:/a:php:php:7.2.34
Method: PHP Detection (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.800109)
","","DFN-CERT-2024-1062,DFN-CERT-2023-1600,DFN-CERT-2022-2639,DFN-CERT-2022-2598,DFN-CERT-2022-2500,DFN-CERT-2022-2499,DFN-CERT-2022-1605,DFN-CERT-2022-0557,DFN-CERT-2022-0407,DFN-CERT-2022-0365,WID-SEC-2023-1737,WID-SEC-2022-1767,WID-SEC-2022-1335,WID-SEC-2022-1228,WID-SEC-2022-0280,CB-K22/0201",""
