IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
      192.168.2.108,,443,tcp,10,High,100,Workaround,Greenbone Security Assistant (GSA) Default Credentials (HTTP),"The remote Greenbone Security Assistant (GSA) is installed /
  configured in a way that it has account(s) with default passwords enabled.","It was possible to login using the following credentials (username:password):

admin:admin
",1.3.6.1.4.1.25623.1.0.105354,,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,5b5855d4-7cae-4073-9de2-bf920f806585,"This issue may be exploited by a remote attacker to gain access
  to sensitive information or modify system configuration.",Change the password of the mentioned account(s).,,,"Tries to login with known default credentials via the HTTP
  protocol.
Details:
Greenbone Security Assistant (GSA) Default Credentials (HTTP)
(OID: 1.3.6.1.4.1.25623.1.0.105354)
Version used: 2024-07-10T05:05:27Z
",,,,
192.168.2.1,mynetwork.home,443,tcp,9.9,High,30,VendorFix,jQuery End of Life (EOL) Detection - Linux,"The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.8.3
Installed version: 1.8.3
Location/URL:      /js/thirdParty/jquery-1.8.3.min.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: https://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   https://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.117149,,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,4350a175-8744-4669-9dee-9db4a99d65bc,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.",Update jQuery on the remote host to a still supported version.,,,"Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2024-02-28T14:37:42Z
",,,,
192.168.2.1,mynetwork.home,80,tcp,9.9,High,30,VendorFix,jQuery End of Life (EOL) Detection - Linux,"The jQuery version on the remote host has reached the end of
  life (EOL) and should not be used anymore.","The ""jQuery"" version on the remote host has reached the end of life.

CPE:               cpe:/a:jquery:jquery:1.8.3
Installed version: 1.8.3
Location/URL:      /js/thirdParty/jquery-1.8.3.min.js
EOL version:       1
EOL date:          unknown
Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   http://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.117149,,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,1032f00a-0dfe-4239-833e-150f237cd090,"An EOL version of jQuery is not receiving any security updates
  from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to compromise
  the security of this host.",Update jQuery on the remote host to a still supported version.,,,"Checks if an EOL version is present on the target host.
Details:
jQuery End of Life (EOL) Detection - Linux
(OID: 1.3.6.1.4.1.25623.1.0.117149)
Version used: 2024-02-28T14:37:42Z
",,,,
192.168.2.1,mynetwork.home,443,tcp,7.5,High,30,Mitigation,"Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSL/TLS, D(HE)ater)","The remote SSL/TLS server is supporting Diffie-Hellman ephemeral
  (DHE) Key Exchange algorithms and thus could be prone to a denial of service (DoS)
  vulnerability.","'DHE' cipher suites accepted by this service via the TLSv1.2 protocol:

TLS_DHE_RSA_WITH_AES_256_CBC_SHA256
TLS_DHE_RSA_WITH_AES_256_GCM_SHA384
TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256


",1.3.6.1.4.1.25623.1.0.117840,"CVE-2002-20001,CVE-2022-40735,CVE-2024-41996",cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,36b03093-79aa-404e-85ac-ad25681119c2,"This vulnerability allows remote attackers (from the client side)
  to send arbitrary numbers that are actually not public keys, and trigger expensive server-side DHE
  modular-exponentiation calculations, also known as a D(HE)ater attack.

  There could be an increase in CPU usage in the affected component. For OpenSSH, users may observe
  issues such as a slowdown in SSH connections.","'- DHE key exchange should be disabled if no other mitigation
  mechanism can be used and either elliptic-curve variant of Diffie-Hellman (ECDHE) or RSA key
  exchange is supported by the clients. The fact that RSA key exchange is not forward secret should
  be considered.

  - Limit the maximum number of concurrent connections in e.g. the configuration of the remote
  server. For Postfix this limit can be configured via 'smtpd_client_new_tls_session_rate_limit'
  option, for other products please refer to the manual of the product in question on configuration
  possibilities.",,"'- CVE-2002-20001: The Diffie-Hellman Key Agreement Protocol
  allows remote attackers (from the client side) to send arbitrary numbers that are actually not
  public keys, and trigger expensive server-side DHE modular-exponentiation calculations, aka a
  D(HE)ater attack. The client needs very little CPU resources and network bandwidth. The attack may
  be more disruptive in cases where a client can require a server to select its largest supported
  key size. The basic attack scenario is that the client must claim that it can only communicate
  with DHE, and the server must be configured to allow DHE.

  - CVE-2022-40735: The Diffie-Hellman Key Agreement Protocol allows use of long exponents that
  arguably make certain calculations unnecessarily expensive, because the 1996 van Oorschot and
  Wiener paper found that '(appropriately) short exponents' can be used when there are adequate
  subgroup constraints, and these short exponents can lead to less expensive calculations than for
  long exponents. This issue is different from CVE-2002-20001 because it is based on an observation
  about exponent size, rather than an observation about numbers that are not public keys. The
  specific situations in which calculation expense would constitute a server-side vulnerability
  depend on the protocol (e.g., TLS, SSH, or IKE) and the DHE implementation details. In general,
  there might be an availability concern because of server-side resource consumption from DHE
  modular-exponentiation calculations. Finally, it is possible for an attacker to exploit this
  vulnerability and CVE-2002-20001 together.

  - CVE-2024-41996: Validating the order of the public keys in the Diffie-Hellman Key Agreement
  Protocol, when an approved safe prime is used, allows remote attackers (from the client side) to
  trigger unnecessarily expensive server-side DHE modular-exponentiation calculations. The client
  may cause asymmetric resource consumption. The basic attack scenario is that the client must claim
  that it can only communicate with DHE, and the server must be configured to allow DHE and validate
  the order of the public key.","Checks the supported cipher suites of the remote SSL/TLS
  server.
Details:
Diffie-Hellman Ephemeral Key Exchange DoS Vulnerability (SSL/TLS, D(HE)ater)
(OID: 1.3.6.1.4.1.25623.1.0.117840)
Version used: 2024-10-03T05:05:33Z
","Product: cpe:/a:ietf:transport_layer_security
Method: SSL/TLS: Report Supported Cipher Suites
(OID: 1.3.6.1.4.1.25623.1.0.802067)
",,"DFN-CERT-2024-2847,DFN-CERT-2024-2578,DFN-CERT-2024-1671,DFN-CERT-2023-1697,DFN-CERT-2023-1332,DFN-CERT-2022-2147,DFN-CERT-2022-0437,DFN-CERT-2021-2622,WID-SEC-2024-3056,WID-SEC-2023-1886,WID-SEC-2023-1352,WID-SEC-2022-2251,WID-SEC-2022-2000,CB-K22/0224,CB-K21/1276",
192.168.2.1,mynetwork.home,443,tcp,6.1,Medium,30,VendorFix,jQuery < 1.9.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS) vulnerability
  via the load method.","Installed version: 1.8.3
Fixed version:     1.9.0
Installation
path / port:       /js/thirdParty/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: https://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   https://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.143968,CVE-2020-7656,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,1b496cce-54b2-430c-bb54-b36c21fc2e13,,Update to version 1.9.0 or later.,jQuery versions prior to 1.9.0.,"jQuery allows cross-site scripting attacks via the load method.
  The load method fails to recognize and remove '<script>' HTML tags that contain a whitespace
  character, i.e: '</script >', which results in the enclosed script logic to be executed.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.143968)
Version used: 2023-07-14T05:06:08Z
",,,"DFN-CERT-2022-1614,DFN-CERT-2021-2348,DFN-CERT-2021-1503,DFN-CERT-2020-2259,DFN-CERT-2020-2209,WID-SEC-2023-0558,WID-SEC-2022-0736",
192.168.2.1,mynetwork.home,443,tcp,6.1,Medium,80,VendorFix,jQuery < 1.9.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.8.3
Fixed version:     1.9.0
Installation
path / port:       /js/thirdParty/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: https://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   https://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.141636,CVE-2012-6708,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,e8963b56-df90-47c7-96a3-f755934f8e57,,Update to version 1.9.0 or later.,jQuery prior to version 1.9.0.,"The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
",,,"DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",
192.168.2.1,mynetwork.home,80,tcp,6.1,Medium,80,VendorFix,jQuery < 1.9.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.8.3
Fixed version:     1.9.0
Installation
path / port:       /js/thirdParty/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   http://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.141636,CVE-2012-6708,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,a0e48a64-2def-4fcb-b621-bf0c77f9c3dc,,Update to version 1.9.0 or later.,jQuery prior to version 1.9.0.,"The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
",,,"DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",
192.168.2.1,mynetwork.home,443,tcp,6.1,Medium,30,VendorFix,jQuery < 3.4.0 Object Extensions Vulnerability,"jQuery is prone to multiple vulnerabilities regarding property
  injection in Object.prototype.","Installed version: 1.8.3
Fixed version:     3.4.0
Installation
path / port:       /js/thirdParty/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: https://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   https://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.142314,"CVE-2019-5428,CVE-2019-11358",cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,44deb1f0-cd02-491f-bab2-6ba7b7ca0a65,,"Update to version 3.4.0 or later. Patch diffs are available for
  older versions.",jQuery prior to version 3.4.0.,"The following flaws exist:

  - CVE-2019-5428: A prototype pollution vulnerability exists that allows an attacker to inject
  properties on Object.prototype.

  - CVE-2019-11358: jQuery mishandles jQuery.extend(true, {}, ...) because of Object.prototype
  pollution. If an unsanitized source object contained an enumerable __proto__ property, it could
  extend the native Object.prototype.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 3.4.0 Object Extensions Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.142314)
Version used: 2023-07-14T05:06:08Z
",,,"DFN-CERT-2024-1997,DFN-CERT-2023-2027,DFN-CERT-2023-1197,DFN-CERT-2023-0481,DFN-CERT-2023-0245,DFN-CERT-2022-2467,DFN-CERT-2021-1536,DFN-CERT-2021-1503,DFN-CERT-2021-0826,DFN-CERT-2020-2423,DFN-CERT-2020-2335,DFN-CERT-2020-2286,DFN-CERT-2020-2130,DFN-CERT-2020-1812,DFN-CERT-2020-1574,DFN-CERT-2020-1537,DFN-CERT-2020-1506,DFN-CERT-2020-0772,DFN-CERT-2020-0769,DFN-CERT-2020-0721,DFN-CERT-2020-0276,DFN-CERT-2020-0102,DFN-CERT-2020-0100,DFN-CERT-2019-2169,DFN-CERT-2019-2158,DFN-CERT-2019-2156,DFN-CERT-2019-2126,DFN-CERT-2019-1861,DFN-CERT-2019-1663,DFN-CERT-2019-1460,DFN-CERT-2019-1182,DFN-CERT-2019-1153,DFN-CERT-2019-1118,DFN-CERT-2019-1033,DFN-CERT-2019-0914,DFN-CERT-2019-0899,DFN-CERT-2019-0805,WID-SEC-2024-1872,WID-SEC-2023-1737,WID-SEC-2023-0239,WID-SEC-2022-1948,WID-SEC-2022-1947,WID-SEC-2022-0732,WID-SEC-2022-0673,CB-K22/0045,CB-K21/1083,CB-K20/1049,CB-K20/1030,CB-K20/0800,CB-K20/0710,CB-K20/0324,CB-K20/0314,CB-K20/0309,CB-K20/0106,CB-K20/0041,CB-K20/0037,CB-K20/0034,CB-K19/0921,CB-K19/0920,CB-K19/0916,CB-K19/0911,CB-K19/0909,CB-K19/0619,CB-K19/0504,CB-K19/0329",
192.168.2.1,mynetwork.home,443,tcp,6.1,Medium,30,VendorFix,jQuery < 3.0.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.8.3
Fixed version:     3.0.0
Installation
path / port:       /js/thirdParty/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: https://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   https://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.141635,CVE-2015-9251,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,31272ac2-668d-41cf-82aa-4508849d063d,,Update to version 3.0.0 or later.,jQuery prior to version 3.0.0.,"When a cross-domain Ajax request is performed without the
  dataType option, causing text/javascript responses to be executed.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 3.0.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141635)
Version used: 2023-07-14T05:06:08Z
",,,"DFN-CERT-2023-1197,DFN-CERT-2023-0245,DFN-CERT-2020-2423,DFN-CERT-2020-2130,DFN-CERT-2020-0630,DFN-CERT-2020-0590,DFN-CERT-2020-0318,DFN-CERT-2019-2158,DFN-CERT-2019-1455,DFN-CERT-2019-0777,DFN-CERT-2019-0772,DFN-CERT-2019-0119,DFN-CERT-2019-0111,DFN-CERT-2018-2103,DFN-CERT-2018-1163,WID-SEC-2024-1872,WID-SEC-2024-1682,WID-SEC-2023-0239,WID-SEC-2022-0673,CB-K22/0045,CB-K20/1030,CB-K20/0309,CB-K20/0041,CB-K19/0911,CB-K19/0909,CB-K19/0615,CB-K19/0321,CB-K19/0313,CB-K19/0054,CB-K19/0052,CB-K19/0049,CB-K19/0048,CB-K19/0046,CB-K18/1006",
192.168.2.1,mynetwork.home,80,tcp,6.1,Medium,30,VendorFix,jQuery < 3.0.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.8.3
Fixed version:     3.0.0
Installation
path / port:       /js/thirdParty/jquery-1.8.3.min.js

Detection info (see OID: 1.3.6.1.4.1.25623.1.0.150658 for more info):
- Identified file: http://mynetwork.home/js/thirdParty/jquery-1.8.3.min.js
- Referenced at:   http://mynetwork.home/
",1.3.6.1.4.1.25623.1.0.141635,CVE-2015-9251,cdd510f7-20f7-4271-bd33-0f49dec0e041,Network scan,2025-03-06T02:25:27Z,660ed4da-f4a2-4df6-99b4-7056ce1d441a,,Update to version 3.0.0 or later.,jQuery prior to version 3.0.0.,"When a cross-domain Ajax request is performed without the
  dataType option, causing text/javascript responses to be executed.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 3.0.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141635)
Version used: 2023-07-14T05:06:08Z
",,,"DFN-CERT-2023-1197,DFN-CERT-2023-0245,DFN-CERT-2020-2423,DFN-CERT-2020-2130,DFN-CERT-2020-0630,DFN-CERT-2020-0590,DFN-CERT-2020-0318,DFN-CERT-2019-2158,DFN-CERT-2019-1455,DFN-CERT-2019-0777,DFN-CERT-2019-0772,DFN-CERT-2019-0119,DFN-CERT-2019-0111,DFN-CERT-2018-2103,DFN-CERT-2018-1163,WID-SEC-2024-1872,WID-SEC-2024-1682,WID-SEC-2023-0239,WID-SEC-2022-0673,CB-K22/0045,CB-K20/1030,CB-K20/0309,CB-K20/0041,CB-K19/0911,CB-K19/0909,CB-K19/0615,CB-K19/0321,CB-K19/0313,CB-K19/0054,CB-K19/0052,CB-K19/0049,CB-K19/0048,CB-K19/0046,CB-K18/1006",
